,Unnamed: 0.1,layer1,layer2,svm,rf,nb,kn,dt,ae_svm,ae_rf,ae_nb,ae_kn,ae_dt,method,time_svm,time_rf,time_nb,time_kn,time_dt
25,,30,15,0.901381826897646,0.9425440524993388,0.7146091477122454,0.9363308317905316,0.9329504430044959,0.9128339063739752,0.9566913514943136,0.8856515306797142,0.956371495636075,0.9343059871727056,AE,0.0006620509761429005,0.01455612820988055,0.654151395455252,0.04036871894135943,0.0014894529469462881
26,,30,15,0.8998698791427137,0.9389533656260202,0.7182690876791191,0.9366122010675478,0.926838222256102,0.9154110854618279,0.9521583788916528,0.8966917120040303,0.9626436972088313,0.934447392362774,AE,0.0006570043956354591,0.014359937001007924,0.5539233088223765,0.040734423495482015,0.0007846354359903253
27,,30,15,0.9145533687545212,0.9437982987852028,0.7072870363441344,0.9406927087230912,0.9397735039537032,0.927320461972112,0.9590910224749932,0.8831362717952554,0.9717902666566888,0.94650777021128,AE,0.0006438703463660921,0.015667497383852664,0.5256300218393231,0.05023012545140067,0.0007426237315950432
28,,30,15,0.9182413863822806,0.9477775113128158,0.7112160284738944,0.9403700150837544,0.9373110892058536,0.92743713448358,0.9706515950408848,0.9261962806636852,0.971471939585594,0.947737354124216,AE,0.0006303049654294222,0.014181106891744228,0.5311475949608757,0.0406403500588433,0.0007535148561944363
29,,30,15,0.9008806924154896,0.9403369325227596,0.7069390759055942,0.9370112109205658,0.9275444353708576,0.9156912560868644,0.9527505570174112,0.8791713294820999,0.95454763128976,0.9338459909869038,AE,0.0006843723899258149,0.014244900845338294,0.5028357175829614,0.040099740513629474,0.0007877410239949048
30,,30,15,0.9031668419207852,0.9404872064493516,0.712470331981373,0.9398425216564016,0.935745330729558,0.9209353562665866,0.9588903910670472,0.8896174452956788,0.9698325071353462,0.9433453507586,AE,0.0007924964556269171,0.016216711995829178,0.5275004053482478,0.04114865286217617,0.0009276973667429453
31,,30,15,0.9149140087087356,0.9467185802967348,0.7105165456012914,0.936035681901972,0.9362175290706364,0.9284306838449964,0.9657741209059476,0.9090427863968354,0.9706254546179216,0.9416855987006646,AE,0.0007511252787575795,0.018000680361868082,0.7042325346354498,0.055539365377646116,0.0007959492656236751
32,,30,15,0.9108475476206278,0.9403287814428885,0.7064123581336696,0.9399815822658788,0.9312397955797436,0.9246113194398352,0.9640986925068032,0.9052187728147608,0.964181240459282,0.9483498705780846,AE,0.0006499240863166855,0.014419719570096075,0.5057556863178337,0.045096745915889525,0.0007770763485208457
33,,30,15,0.9066665063063092,0.9433870927607252,0.7147325769854133,0.9402098840594616,0.9315520836616572,0.9289256630209568,0.9649213100667045,0.9100104676605691,0.9637269018876624,0.9413578762095456,AE,0.0015372725322418002,0.04737176597522751,1.4896280546632628,0.15726050442023168,0.0016930652171548595
34,,30,15,0.9076127695965752,0.9340261897346916,0.7028565496581691,0.9301160198326189,0.9278766937066532,0.9296416583865976,0.9600814165591492,0.9127194218287336,0.9621291888498366,0.9441045908657244,AE,0.0011987397165009466,0.03519404371202073,1.1648903427917672,0.12473455978593692,0.0014488991435864884
35,,30,15,0.9159126552801493,0.945635810103384,0.702747528584198,0.9351987702428055,0.9380430415018083,0.9371122677767993,0.9659994107552153,0.9022336372216275,0.9634780589544399,0.9484406652140839,AE,0.0013157643111568395,0.03484378298824591,1.2342064416230614,0.12813207521960504,0.0015508788896868642
